enrollee_id,city_development_index,education_level,experience,company_size,last_new_job,training_hours,no_company_info,gender_Male,gender_Other,gender_Unknown,relevent_experience_No relevent experience,enrolled_university_Part time course,enrolled_university_no_enrollment,enrolled_university_unknown,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,major_discipline_Unknown,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown,probability,risk,expected_value,recommended_action,top_reasons
11067,0.92,3,7,7,2,68,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.5108527,Medium,6163.0,Invite to advanced training / career coaching,City development level = 0.92 (lowers risk); Employer: Public sector = True (INCREASES risk); Company size = 7 (lowers risk)
11243,0.92,3,21,3,2,20,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.31643113,Low,3246.0,Monitor quarterly (no action needed),No company info (likely unemployed) = 0 (lowers risk); City development level = 0.92 (lowers risk); Years of experience = 21 (INCREASES risk)
24075,0.624,3,6,3,3,56,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.81382304,High,10707.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Company size = 3 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
28026,0.624,3,2,1,0,61,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.7973565,High,10460.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Time since last job change = 0 (lowers risk); gender_Unknown = True (lowers risk)
1585,0.91,4,16,6,2,104,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.092166156,Low,-118.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Years of experience = 16 (lowers risk); Company size = 6 (lowers risk)
4324,0.92,3,5,0,1,24,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.8574395,High,11362.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); Company size = 0 (INCREASES risk); Education level = 3 (INCREASES risk)
28982,0.939,3,16,8,3,28,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.15658112,Low,849.0,Monitor quarterly (no action needed),City development level = 0.939 (lowers risk); Company size = 8 (lowers risk); Years of experience = 16 (lowers risk)
3920,0.698,3,18,8,4,39,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.14517227,Low,678.0,Monitor quarterly (no action needed),Years of experience = 18 (lowers risk); Company size = 8 (lowers risk); City development level = 0.698 (lowers risk)
30253,0.92,3,21,5,1,26,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.22996879,Low,1950.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); Company size = 5 (lowers risk)
15644,0.527,3,9,3,4,16,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.4575135,Medium,5363.0,Invite to advanced training / career coaching,City development level = 0.527 (INCREASES risk); Years of experience = 9 (lowers risk); Training hours completed = 16 (lowers risk)
4564,0.939,3,6,3,4,52,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0.12489228,Low,373.0,Monitor quarterly (no action needed),City development level = 0.939 (lowers risk); Company size = 3 (lowers risk); Time since last job change = 4 (INCREASES risk)
31782,0.91,3,4,3,1,52,0,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.1462352,Low,694.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Training hours completed = 52 (lowers risk); Company size = 3 (lowers risk)
8739,0.92,3,19,5,5,94,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.1014824,Low,22.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); Company size = 5 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
24603,0.91,2,4,0,1,24,1,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0.6853176,High,8780.0,Personal outreach + mentorship (likely between jobs),Training hours completed = 24 (INCREASES risk); No company info (likely unemployed) = 1 (INCREASES risk); City development level = 0.91 (lowers risk)
16172,0.754,1,3,0,0,109,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0.08785685,Low,-182.0,Monitor quarterly (no action needed),Education level = 1 (lowers risk); Time since last job change = 0 (lowers risk); Company size = 0 (INCREASES risk)
23011,0.92,3,12,3,1,58,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.1305512,Low,458.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); Company size = 3 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
11771,0.624,4,7,8,3,87,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.6774357,High,8662.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Training hours completed = 87 (lowers risk); Company size = 8 (lowers risk)
25210,0.926,2,4,8,2,5,0,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.085540995,Low,-217.0,Monitor quarterly (no action needed),City development level = 0.926 (lowers risk); Education level = 2 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
12703,0.926,4,3,3,1,7,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.2532568,Low,2299.0,Monitor quarterly (no action needed),City development level = 0.926 (lowers risk); Training hours completed = 7 (INCREASES risk); Company size = 3 (lowers risk)
2930,0.926,2,8,0,1,155,1,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0.3669308,Low,4004.0,Monitor quarterly (no action needed),City development level = 0.926 (lowers risk); Education level = 2 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk)
5749,0.624,3,5,0,0,6,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.81423545,High,10714.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); No company info (likely unemployed) = 0 (lowers risk); Company size = 0 (INCREASES risk)
25349,0.91,3,21,6,5,28,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.24498795,Low,2175.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Years of experience = 21 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
15273,0.92,4,21,0,1,34,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.7515475,High,9773.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); Company size = 0 (INCREASES risk); Training hours completed = 34 (lowers risk)
33136,0.92,3,3,0,3,15,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.96842885,High,13026.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); Gender: Other = True (INCREASES risk); Company size = 0 (INCREASES risk)
2890,0.897,4,11,3,5,308,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.02607281,Low,-1109.0,Monitor quarterly (no action needed),City development level = 0.897 (lowers risk); Company size = 3 (lowers risk); Training hours completed = 308 (lowers risk)
23175,0.92,3,5,4,1,80,0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.24767262,Low,2215.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); relevent_experience_No relevent experience = True (INCREASES risk)
8759,0.743,1,21,1,1,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,0.011392516,Low,-1329.0,Monitor quarterly (no action needed),Training hours completed = 1 (lowers risk); Years of experience = 21 (lowers risk); City development level = 0.743 (lowers risk)
24679,0.624,3,3,1,1,43,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.78431207,High,10265.0,Career coaching session + project opportunities,City development level = 0.624 (INCREASES risk); Company size = 1 (lowers risk); Years of experience = 3 (INCREASES risk)
27628,0.939,2,3,0,2,57,0,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.2321769,Low,1983.0,Monitor quarterly (no action needed),City development level = 0.939 (lowers risk); Employer: Public sector = True (INCREASES risk); Education level = 2 (lowers risk)
186,0.722,3,6,0,2,162,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.3557893,Low,3837.0,Monitor quarterly (no action needed),Training hours completed = 162 (lowers risk); Major: Humanities = True (lowers risk); Company size = 0 (INCREASES risk)
4486,0.624,4,5,3,1,56,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.8315567,High,10973.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Company size = 3 (lowers risk); Training hours completed = 56 (INCREASES risk)
16223,0.624,3,13,3,4,136,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.80340165,High,10551.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Training hours completed = 136 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
12280,0.698,3,0,4,1,25,0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.27192244,Low,2579.0,Monitor quarterly (no action needed),Company size = 4 (lowers risk); Training hours completed = 25 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
24944,0.624,3,2,8,0,44,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.65606266,High,8341.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Company size = 8 (lowers risk); Time since last job change = 0 (lowers risk)
12433,0.939,2,3,8,3,36,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.03577063,Low,-963.0,Monitor quarterly (no action needed),City development level = 0.939 (lowers risk); Education level = 2 (lowers risk); Company size = 8 (lowers risk)
28679,0.92,4,21,0,1,36,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7930719,High,10396.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); Company size = 0 (INCREASES risk); Training hours completed = 36 (lowers risk)
5743,0.624,3,8,4,1,33,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.7819301,High,10229.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Company size = 4 (lowers risk); Training hours completed = 33 (lowers risk)
19620,0.624,4,15,1,5,76,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.6766835,High,8650.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Company size = 1 (lowers risk); Years of experience = 15 (lowers risk)
29362,0.92,3,21,8,4,90,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.13411765,Low,512.0,Monitor quarterly (no action needed),Years of experience = 21 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); City development level = 0.92 (lowers risk)
22438,0.903,3,4,8,1,200,0,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.40308055,Medium,4546.0,Invite to advanced training / career coaching,relevent_experience_No relevent experience = True (INCREASES risk); City development level = 0.903 (lowers risk); Training hours completed = 200 (INCREASES risk)
27395,0.8959999999999999,3,5,0,0,145,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.79824215,High,10474.0,Personal outreach + mentorship (likely between jobs),City development level = 0.8959999999999999 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk); Education level = 3 (INCREASES risk)
18536,0.624,3,4,6,3,64,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.7532122,High,9798.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Company size = 6 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
24091,0.738,4,13,6,5,66,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.431417,Medium,4971.0,Invite to advanced training / career coaching,City development level = 0.738 (INCREASES risk); No company info (likely unemployed) = 0 (lowers risk); Employer: Pvt Ltd = False (INCREASES risk)
30603,0.91,2,5,0,1,41,1,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0.31501278,Low,3225.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Education level = 2 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk)
15175,0.91,3,21,4,5,37,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0.28264007,Low,2740.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Employer: NGO = True (INCREASES risk); Company size = 4 (lowers risk)
15643,0.91,3,17,8,4,61,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.1537762,Low,807.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Years of experience = 17 (lowers risk); Company size = 8 (lowers risk)
30251,0.91,3,21,3,1,43,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.21990605,Low,1799.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); Training hours completed = 43 (INCREASES risk)
31495,0.903,3,5,0,1,38,1,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.85969985,High,11395.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); Company size = 0 (INCREASES risk); relevent_experience_No relevent experience = True (INCREASES risk)
9360,0.887,5,7,6,5,124,0,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.12019958,Low,303.0,Monitor quarterly (no action needed),City development level = 0.887 (lowers risk); Training hours completed = 124 (lowers risk); Years of experience = 7 (lowers risk)
22544,0.624,3,2,0,0,13,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.736065,High,9541.0,Personal outreach + mentorship (likely between jobs),City development level = 0.624 (INCREASES risk); No company info (likely unemployed) = 1 (INCREASES risk); Training hours completed = 13 (lowers risk)
19153,0.754,2,4,0,0,10,1,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0.07093758,Low,-436.0,Monitor quarterly (no action needed),Education level = 2 (lowers risk); Training hours completed = 10 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk)
28134,0.895,3,18,5,1,20,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0.2630121,Low,2445.0,Monitor quarterly (no action needed),City development level = 0.895 (lowers risk); Employer: Public sector = True (INCREASES risk); Time since last job change = 1 (lowers risk)
16267,0.92,2,3,0,0,4,1,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0.17857207,Low,1179.0,Monitor quarterly (no action needed),Education level = 2 (lowers risk); Training hours completed = 4 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk)
17493,0.91,4,7,1,2,129,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.040644843,Low,-890.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Training hours completed = 129 (lowers risk); Company size = 1 (lowers risk)
18991,0.91,3,3,0,1,69,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.7888182,High,10332.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); City development level = 0.91 (lowers risk); Company size = 0 (INCREASES risk)
2016,0.804,3,3,7,2,108,0,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.36883572,Low,4033.0,Monitor quarterly (no action needed),City development level = 0.804 (lowers risk); Years of experience = 3 (INCREASES risk); No company info (likely unemployed) = 0 (lowers risk)
28413,0.92,3,5,0,2,43,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.9003717,High,12006.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); Company size = 0 (INCREASES risk); Education level = 3 (INCREASES risk)
14903,0.897,3,4,0,0,61,1,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.5857176,Medium,7286.0,Invite to advanced training / career coaching,City development level = 0.897 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk); relevent_experience_No relevent experience = True (INCREASES risk)
2434,0.865,4,10,4,5,27,0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.26636058,Low,2495.0,Monitor quarterly (no action needed),City development level = 0.865 (lowers risk); Years of experience = 10 (INCREASES risk); No company info (likely unemployed) = 0 (lowers risk)
4631,0.949,4,9,4,2,29,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.047100548,Low,-793.0,Monitor quarterly (no action needed),City development level = 0.949 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); Company size = 4 (lowers risk)
7043,0.926,3,4,3,1,44,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.24421175,Low,2163.0,Monitor quarterly (no action needed),City development level = 0.926 (lowers risk); Company size = 3 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
10768,0.924,2,21,6,1,44,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0.10797769,Low,120.0,Monitor quarterly (no action needed),City development level = 0.924 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); Years of experience = 21 (lowers risk)
33315,0.926,3,5,3,1,18,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.14058876,Low,609.0,Monitor quarterly (no action needed),City development level = 0.926 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); Company size = 3 (lowers risk)
25147,0.92,0,4,3,3,84,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.13246346,Low,487.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); Education level = 0 (lowers risk); Years of experience = 4 (lowers risk)
21238,0.92,0,3,0,1,147,1,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0.34367782,Low,3655.0,Monitor quarterly (no action needed),Education level = 0 (lowers risk); Training hours completed = 147 (INCREASES risk); Company size = 0 (INCREASES risk)
23028,0.92,4,15,1,1,29,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.10576927,Low,87.0,Monitor quarterly (no action needed),Company size = 1 (lowers risk); City development level = 0.92 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
4007,0.92,4,21,3,5,119,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0.12869634,Low,430.0,Monitor quarterly (no action needed),Employer: Funded startup = True (lowers risk); City development level = 0.92 (lowers risk); Training hours completed = 119 (INCREASES risk)
29548,0.897,4,21,8,5,98,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.06422097,Low,-537.0,Monitor quarterly (no action needed),City development level = 0.897 (lowers risk); Training hours completed = 98 (lowers risk); Years of experience = 21 (lowers risk)
27377,0.878,4,21,5,0,6,0,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.08860538,Low,-171.0,Monitor quarterly (no action needed),Years of experience = 21 (lowers risk); City development level = 0.878 (lowers risk); Time since last job change = 0 (lowers risk)
17448,0.802,4,7,7,1,45,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.15653296,Low,848.0,Monitor quarterly (no action needed),City development level = 0.802 (lowers risk); Years of experience = 7 (INCREASES risk); No company info (likely unemployed) = 0 (lowers risk)
9470,0.92,3,2,3,1,24,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.22491765,Low,1874.0,Monitor quarterly (no action needed),No company info (likely unemployed) = 0 (lowers risk); City development level = 0.92 (lowers risk); Company size = 3 (lowers risk)
27866,0.92,3,21,3,1,31,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0.06833811,Low,-475.0,Monitor quarterly (no action needed),Employer: Funded startup = True (lowers risk); City development level = 0.92 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
27023,0.897,3,2,1,1,85,0,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.045092084,Low,-824.0,Monitor quarterly (no action needed),City development level = 0.897 (lowers risk); Training hours completed = 85 (lowers risk); Company size = 1 (lowers risk)
24789,0.92,3,21,0,1,147,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.94848186,High,12727.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); Company size = 0 (INCREASES risk); City development level = 0.92 (INCREASES risk)
31798,0.91,3,14,6,1,8,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.1769964,Low,1155.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Years of experience = 14 (INCREASES risk); Company size = 6 (lowers risk)
18452,0.763,3,12,1,0,97,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.10917713,Low,138.0,Monitor quarterly (no action needed),Time since last job change = 0 (lowers risk); Years of experience = 12 (lowers risk); Company size = 1 (lowers risk)
18861,0.698,0,0,0,1,17,1,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0.4236213,Medium,4854.0,Invite to advanced training / career coaching,Education level = 0 (lowers risk); Years of experience = 0 (INCREASES risk); No company info (likely unemployed) = 1 (INCREASES risk)
14003,0.804,3,2,0,1,95,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.6473334,High,8210.0,Personal outreach + mentorship (likely between jobs),City development level = 0.804 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk); Company size = 0 (INCREASES risk)
30386,0.91,3,9,3,1,45,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.13222359,Low,483.0,Monitor quarterly (no action needed),City development level = 0.91 (lowers risk); Company size = 3 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
5204,0.84,3,21,0,5,47,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.27866092,Low,2680.0,Monitor quarterly (no action needed),City development level = 0.84 (lowers risk); Time since last job change = 5 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk)
3910,0.92,3,4,2,1,29,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.06781969,Low,-483.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); Major: Other = True (lowers risk)
15211,0.55,3,8,0,1,23,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.67268807,High,8590.0,Personal outreach + mentorship (likely between jobs),City development level = 0.55 (INCREASES risk); No company info (likely unemployed) = 1 (INCREASES risk); Training hours completed = 23 (lowers risk)
30564,0.925,2,2,0,0,166,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.018286483,Low,-1226.0,Monitor quarterly (no action needed),City development level = 0.925 (lowers risk); Education level = 2 (lowers risk); Time since last job change = 0 (lowers risk)
15393,0.698,2,7,0,1,12,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.29333597,Low,2900.0,Monitor quarterly (no action needed),Training hours completed = 12 (lowers risk); Education level = 2 (lowers risk); No company info (likely unemployed) = 1 (INCREASES risk)
10586,0.624,3,9,8,4,20,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.7629383,High,9944.0,Salary review / growth plan conversation,City development level = 0.624 (INCREASES risk); Training hours completed = 20 (lowers risk); Years of experience = 9 (INCREASES risk)
33198,0.897,4,16,1,2,14,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.060630962,Low,-591.0,Monitor quarterly (no action needed),City development level = 0.897 (lowers risk); Company size = 1 (lowers risk); Years of experience = 16 (lowers risk)
23194,0.92,3,16,1,5,39,0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.29037887,Low,2856.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); No company info (likely unemployed) = 0 (lowers risk); Years of experience = 16 (lowers risk)
